# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1019
#@/user_id	Mac
a 	啊	c=6 d=0.835256 t=1019
ai 	愛	c=0 d=0.0731919 t=1019
ai fa dian 	愛發電	c=1 d=0.379083 t=1019
ai he zu 	愛合租	c=1 d=0.321422 t=1019
ai qi yi de 	愛奇異的	c=1 d=0.414783 t=1019
ba 	吧	c=0 d=0.1 t=935
ba 	巴	c=0 d=0.0141564 t=1019
ba 	把	c=1 d=0.970446 t=1019
ba ke 	把課	c=1 d=0.444858 t=1019
ba le 	罷了	c=1 d=1 t=970
ba ni 	把你	c=0 d=0.1 t=926
bai du yi xia 	百度一下	c=1 d=1 t=798
bai shou fang hui du shu chi 	白首方悔读书迟	c=1 d=0.755784 t=1019
ban 	班	c=1 d=0.256661 t=1019
bang ni 	幫你	c=0 d=0.1 t=796
bao dao 	報道	c=1 d=0.737123 t=1019
bao ke meng 	寶可夢	c=1 d=0.414783 t=1019
bao qian 	抱歉	c=2 d=0.903174 t=1019
bei 	被	c=0 d=0.029003 t=1019
bei guan li 	被管理	c=1 d=0.123687 t=1019
bei ju bao 	被舉報	c=1 d=0.167797 t=1019
ben shu 	本書	c=1 d=1 t=883
bi li 	比例	c=1 d=0.647265 t=1019
bi qi lai 	比起來	c=1 d=1 t=896
bi xu 	必須	c=1 d=0.554327 t=1019
bi ye 	畢業	c=1 d=0.140858 t=1019
bian 	變	c=0 d=0.0239309 t=1019
bian bie 	辨別	c=1 d=0.540641 t=1019
bian cheng 	編程	c=1 d=0.839457 t=1019
bian shi 	辨識	c=1 d=0.786628 t=1019
biao qian 	標籤	c=0 d=0.00884781 t=1019
biao zhun 	標準	c=1 d=0.285076 t=1019
bie zou 	別走	c=1 d=0.153355 t=1019
bing ba 	並把	c=1 d=1 t=768
bu 	不	c=1 d=0.304221 t=1019
bu 	部	c=1 d=0.895834 t=1019
bu chi 	不喫	c=1 d=1 t=782
bu chu lai 	不出來	c=0 d=0.0246597 t=1019
bu duo 	不多	c=1 d=1 t=823
bu fa 	不發	c=1 d=0.136695 t=1019
bu gai 	不該	c=0 d=0.0239309 t=1019
bu gai bian 	不該變	c=1 d=0.240508 t=1019
bu guo 	不過	c=1 d=0.346456 t=1019
bu ju 	佈局	c=1 d=0.319819 t=1019
bu ke neng 	不可能	c=1 d=0.263158 t=1019
bu liao 	不了	c=0 d=0.0265803 t=1019
bu neng 	不能	c=1 d=1 t=868
bu pa 	不怕	c=0 d=0.0763379 t=1019
bu ru 	不如	c=1 d=1 t=900
bu shan chang 	不擅長	c=0 d=0.0398519 t=1019
bu shan chang dian nao de 	不擅長電腦的	c=1 d=0.400517 t=1019
bu shang 	補上	c=1 d=0.447088 t=1019
bu shi 	不是	c=2 d=1.54335 t=932
bu shi shuo 	不是說	c=1 d=0.398519 t=1019
bu tong 	不同	c=2 d=0.819692 t=1019
bu xian shi 	不顯示	c=2 d=0.82017 t=1019
bu xing 	不行	c=1 d=0.226502 t=1019
bu yao 	不要	c=0 d=0.1 t=1002
bu yao bu yao 	不要不要	c=1 d=1 t=1003
bu ying gai 	不應該	c=1 d=1 t=828
cai dan lan 	菜單欄	c=1 d=0.465516 t=1019
cai dan lan xian shi shu ru fa 	菜單欄顯示輸入法	c=1 d=0.344728 t=1019
can 	參	c=1 d=1 t=992
cang ku 	倉庫	c=2 d=1.97531 t=772
cao liu 	草榴	c=10 d=2.65602 t=1019
cao liu she qu 	草榴社區	c=1 d=0.132655 t=1019
ce mu wei fei 	冊母爲妃	c=1 d=0.213312 t=1019
ce sai 	側鰓	c=1 d=0.231078 t=1019
ce shi 	側室	c=2 d=0.866409 t=1019
ce shi 	測試	c=12 d=2.63531 t=1019
cha guan 	茶館	c=1 d=1 t=855
cha jin 	差勁	c=1 d=1 t=898
chang xian 	嚐鮮	c=0 d=0.0923116 t=1019
chang xian pai 	嚐鮮派	c=1 d=0.927743 t=1019
cheng gong 	成功	c=1 d=0.427415 t=1019
cheng xu yuan 	程序員	c=1 d=1 t=920
chi shen me 	吃什麼	c=1 d=1 t=907
chong ding xiang 	重定向	c=1 d=0.22313 t=1019
chong xie 	重寫	c=2 d=1.9802 t=821
chou xiang 	抽象	c=1 d=0.463013 t=1019
chu 	出	c=1 d=0.66034 t=1019
chu kong ban 	觸控板	c=1 d=1 t=977
chu lai 	出來	c=1 d=0.56836 t=1019
chu xian 	出現	c=1 d=0.801463 t=1019
